GPIO Pin,Pad Mode,Host Soft Owner,Direction,Output State,Interrupt Configuration,Reset Configuration,Electrical Configuration,Lock Status
GPP_A7,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_A8,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_A9,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_A11,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_A12,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_A13,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_A14,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_B0,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_B1,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_B3,Gpio,Gpio,Out,High,Default,Platform Reset,None,Unlock
GPP_B4,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_B9,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_B11,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_B12,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_B13,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_B14,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_B15,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_B16,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_B17,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_B19,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_B20,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_B21,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_B23,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_C0,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_C1,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_C3,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_C4,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_C6,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_C7,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_C8,Gpio,Gpio,In,GpioDirDefault,Default,Platform Reset,None,Unlock
GPP_C9,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_C10,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_C11,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_C12,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_C13,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_C14,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_C15,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_C16,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_C17,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_C18,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_C19,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_C20,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_C21,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_C22,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_C23,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_D0,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_D1,Gpio,Gpio,Out,High,Default,Platform Reset,None,Unlock
GPP_D2,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_D3,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_D4,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_D5,Native2,Default,Default,Default,Default,Platform Reset,None,
GPP_D6,Native2,Default,Default,Default,Default,Platform Reset,None,
GPP_D7,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_D8,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_D9,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_D10,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_D11,Gpio,Gpio,In,Default,Default,Platform Reset,None,
GPP_D12,Gpio,Gpio,In,Default,Default,Platform Reset,None,
GPP_D13,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_D14,Gpio,Gpio,In,Default,Default,Platform Reset,None,Unlock
GPP_D15,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_D16,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_D17,Gpio,Gpio,In,Default,Default,Platform Reset,None,
GPP_D18,Gpio,Gpio,In,Default,Default,Platform Reset,None,Unlock
GPP_D19,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_D20,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_D21,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_D22,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_D23,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_E0,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_E1,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_E2,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_E3,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_E4,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_E5,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_E6,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_E7,Gpio,Gpio,In,Default,Default,Platform Reset,None,
GPP_E8,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_E9,Native1,Default,Default,Default,Default,Host Deep Reset,None,
GPP_E10,Native1,Default,Default,Default,Default,Host Deep Reset,None,
GPP_E11,Native1,Default,Default,Default,Default,Host Deep Reset,None,
GPP_E12,Native1,Default,Default,Default,Default,Host Deep Reset,None,
GPP_F1,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_F2,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_F3,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_F4,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_F5,Gpio,Gpio,In,Default,Default,Platform Reset,None,
GPP_F6,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_F7,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_F8,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_F9,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_F10,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_F11,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_F12,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_F13,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_F14,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_F15,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_F16,Gpio,Gpio,In,Default,Default,Platform Reset,None,
GPP_F17,Gpio,Acpi,In,Default,GpioIntEdgeGpioIntSci,Platform Reset,None,
GPP_F18,Gpio,Gpio,Out,High,Default,Platform Reset,None,Unlock
GPP_F19,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_F20,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_F21,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_F22,Gpio,Gpio,Out,Low,Default,Platform Reset,None,
GPP_F23,Gpio,Gpio,Out,Low,Default,Platform Reset,None,
GPP_G0,Gpio,Gpio,In,Default,Default,Platform Reset,None,Unlock
GPP_G1,Gpio,Gpio,In,Default,Default,Platform Reset,None,Unlock
GPP_G3,Gpio,Gpio,In,Default,Default,Platform Reset,None,
GPP_G4,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_G5,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_G6,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_G7,Gpio,Gpio,In,Default,Default,Platform Reset,None,
GPP_G8,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_G9,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_G10,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_G11,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_H1,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_H2,Gpio,Gpio,In,Default,Default,Platform Reset,None,
GPP_H3,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_H4,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_H5,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_H6,Gpio,Gpio,In,Default,Default,Platform Reset,None,Unlock
GPP_H7,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_H8,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_H9,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_H10,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_H11,Gpio,Gpio,Out,High,Default,Platform Reset,None,Unlock
GPP_H13,Gpio,Gpio,Out,High,Default,Platform Reset,None,Unlock
GPP_H14,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_H16,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_H17,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_H18,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_H19,Gpio,Gpio,Out,High,Default,Platform Reset,None,
